Nobody started a company alone . No one .;KHông ai khởi đầu một công ty một mình . Không ai cả .
3.enter into the sales/purchase contract with gas importers or exporters or other gas sellers and purchasers having a Certificate of Eligibility that remains unexpired or traders producing and processing gases.;3. Ký hợp đồng mua bán khí với thương nhân xuất khẩu, nhập khẩu hoặc thương nhân kinh doanh mua bán khí có Giấy chứng nhận đủ điều kiện còn hiệu lực hoặc thương nhân sản xuất, chế biến khí.
If any one of those pumps fucks up, Ivan, we are facing 10 million pounds worth of losses in 15 minutes.;Nếu có ai đó làm sai chuyện gì, Ivan. Chúng ta đang đối mặt với 300 tấn sẽ bị huỷ hoại trong 15 phút.
Boss, what are we doing? We're letting them go?;Sếp, chúng ta đang làm gì vậy?
1. The application of safeguard measures shall be based on the effective decisions of the Ministry of Trade.;1. Việc áp dụng các biện pháp tự vệ được tiến hành trên cơ sở quyết định đã có hiệu lực của Bộ Thương mại.
To determine whether there is a positive bargaining zone each party must understand their bottom line or worst case price.;Để xác định xem có một khu vực thương lượng tích cực nào thì mỗi bên phải hiểu rõ giá trị đáy hoặc trường hợp xấu nhất của họ.
......................... Corporation......................... ';................. Các công ty....................... '
" Margo " (nhũ danh McArdle ), làm việc tại một công ty đầu tư và sau đó là văn phòng thẩm phán.;" Margo " (née McArdle ), worked at an investment firm and later at a magistrate's office.
b. Product values;b) Giá trị của sản phẩm
CONDITIONS ON PRIZE-WINNING ELECTRONIC GAME BUSINESS ACTIVITIES;CÁC ĐIỀU KIỆN LIÊN QUAN ĐẾN HOẠT ĐỘNG KINH DOANH TRÒ CHƠI ĐIỆN TỬ CÓ THƯỞNG
- To restructure the business in order to improve competitiveness; gradually professionalize and modernize the services provided in accordance with international standards and practices; to expand the scale, scope and business location, encourage the provision of securities services for the international market in the region and the world; to use advanced technology and technical infrastructure in order to improve the quality of services provided to investors;;- Cơ cấu lại hoạt động kinh doanh nhằm nâng cao khả năng cạnh tranh; từng bước chuyên nghiệp hóa, hiện đại hóa các dịch vụ cung cấp theo thông lệ và chuẩn mực quốc tế; mở rộng quy mô, phạm vi và địa bàn hoạt động, khuyến khích việc cung cấp các dịch vụ chứng khoán cho các thị trường quốc tế trong khu vực và trên thế giới; sử dụng công nghệ và hạ tầng kỹ thuật tiên tiến nhằm nâng cao chất lượng dịch vụ cung cấp cho nhà đầu tư;
b) Domestic and foreign organizations, foreign-invested enterprises and religious establishments to administrative (hereinafter referred to as " organizations ").;b) Tổ chức trong nước, tổ chức nước ngoài, doanh nghiệp có vốn đầu tư nước ngoài, cơ sở tôn giáo (sau đây gọi chung là tổ chức).
c) Cooperative teams;c) Tổ hợp tác
I run this ad film company.;Tôi điều hành hãng phim này
Aim to deliver a quick, sweet kiss rather than using tongue or a lot of pressure.;Hãy đặt mục tiêu hôn nhanh và ngọt ngào thay vì dùng tới lưỡi hoặc nhiều áp lực.
Let's use the market as the best listening device we have, and understand at what price people would pay for this, so they get the dignity of choice.;Hãy dùng chợ như thiết bị nghe tốt nhất mà ta có, và hiểu được với mức giá nào mọi người sẽ chi được, để họ có địa vị được chọn.
1. Business contracting contents, norms and conditions;1. Nội dung, chỉ tiêu và điều kiện khoán kinh doanh
We worked well into each night .;Chúng tôi làm việc đến đêm khuya .
We 're looking at some very interesting developments in our work .;Chúng ta đang chứng kiến vài sự phát triển rất thú vị trong việc làm của mình
But in fact , what we 're seeing more and more is that if you are willing to cut , get rid of those extraneous redundant options , well there 's an increase in sales , there 's a lowering of costs , there is an improvement of the choosing experience .;Nhưng thực tế , điều chúng ta càng ngày thấy được là nếu bạn sẵn sàng cắt giảm loại bỏ nhiều lựa chọn ngoài luồng Tồn tại sự gia tăng doanh thu bán hàng giảm xuống các chi phí , Và đó là sự cải thiện trong kinh nghiệm lựa chọn
So what I want to propose to you today are four simple techniques -- techniques that we have tested in one way or another in different research venues -- that you can easily apply in your businesses .;cho nên điều tôi muốn đề nghị bạn hôm nay là 4 kĩ thuật đơn giản Những kĩ thuật mà chúng tôi đã kiểm tra bằng nhiều cách trong nhiều bản khảo sát mà bạn có thể áp dụng dễ dàng trong kinh doanh của bạn
Okay . Anybody who 's ready to take him up on his offer .;Tốt . Những ai sẵn sàng nhận sự đề nghị của Gary .
She opened a computer store then studied to be a beautician and opened another business .;Mẹ mở cửa hàng máy tính rồi học nghề chuyên viên thẩm mĩ và mở một cơ sở kinh doanh khác .
So what I want to propose to you today are four simple techniques -- techniques that we have tested in one way or another in different research venues -- that you can easily apply in your businesses .;cho nên điều tôi muốn đề nghị bạn hôm nay là 4 kĩ thuật đơn giản Những kĩ thuật mà chúng tôi đã kiểm tra bằng nhiều cách trong nhiều bản khảo sát mà bạn có thể áp dụng dễ dàng trong kinh doanh của bạn
Only about 12 percent of the decisions did they make an hour or more of their time .;Và chỉ có khoang 12 % sự quyết định được họ thực hiện thực hiện trong 1 tiếng hoặc hơn thế .
Because the transition seems very , very confusing when we 're right in the middle of it .;Bởi vì quá trình chuyển giao này có vẻ rất khó đoán biết khi chúng ta đang ở ngay giữa của quá trình ấy .
And they found that the average CEO engaged in about 139 tasks in a week .;Và họ phát hiện ra là trung bình CEO đã làm khoảng 139 nhiệm vụ trong 1 tuần
Now before we started our session this afternoon , I had a chat with Gary .;Ttrước khi chúng tôi bắt đầu phần chúng tôi buổi chiều nay Tôi đã có cuộc nói chuyện với Gary
So for those people who did choose to participate , the more choices available , the more likely people were to completely avoid stocks or equity funds .;Đối với những ai đã lựa chọn tham gia Càng nhiều sự lựa chọn hơn nữa thì càng nhiều người tham gia để tránh sự tồn kho .
And yes , I 've got a challenge , as you might see .;Và đúng là tôi rất lo và hồi hộp như bạn có thể thấy .
But they do the job .;Nhưng chúng thực hiện được công việc .
When the Golden Cat Corporation got rid of their 10 worst-selling cat litter products , they saw an increase in profits by 87 percent -- a function of both increase in sales and lowering of costs .;Khi tập đoàn Golden Cat loại bỏ 10 sản phẩm bán tệ nhất dành cho mèo Họ nhận thấy sự gia tăng trong lợi nhuận lên 87 % 1 hàm của sự gia tăng lợi nhuận và sự cắt giảm chi phí
There was also recently a study done with CEOs in which they followed CEOs around for a whole week .;Đã có cuộc khảo sát được hoàn thành với các CEO mà chúng tôi đã theo các CEO suốt 1 tuần
Now these decisions vary in the number of choices that they offer per decision .;Và những lựa chọn đó làm thay đổi 1 lượng sự lựa chọn mà họ đưa ra mỗi quyết định .
Boston doesn 't just have a call center .;Boston không chỉ có một tổng đài .
So I one day decided to pay a visit to the manager , and I asked the manager , " Is this model of offering people all this choice really working ? ";Cho nên , 1 ngày , tôi quyết định lại chỗ người quản lý , và tôi hỏi , " Cái cách mời gọi mọi người những lựa chọn này có thực sự hiệu quả ? "
Possibilities that would not have been allowed were outrageously encouraged .;Những khả năng mà trước đây sẽ không được cho phép được khuyến khích rất nhiều .
And I actually believe that the TED community needs to be more courageous .;Tôi thực sự cho rằng cộng đồng TED cần phải dũng cảm hơn .
And if your employees can 't tell them apart , neither can your consumers .;Và nếu người làm công của bạn không thể phân biệt. thì người tiêu dùng của bạn cũng vậy .
But I carried on with my work .;Nhưng tôi vẫn tiếp tục làm việc .
It also gets me excited about this big product that I 'm putting together , so I 'm more willing to be motivated to be engaged .;Nó cũng cho tôi sự hào hứng về sản phẩm to lớn này mà tôi gắn bó với nó so nên tôi rất vui được thúc đẩy và tôi bận rộn
So now what I 'm going to do is I 'm going to vary the order in which these decisions appear .;Cho nên điều tôi sẽ làm là tôi sẽ thay đổi sự đặt hàng mà những quyết định đó tồn tại
